Commodity Code,Commodity Name,Substance,"Unit, purchaser price",Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins
623,"Nursing and residential care facilities|nitrous oxide|kg/2018 USD, purchaser price|0",,,,0,0
623,"Nursing and residential care facilities|other GHGs|kg CO2e/2018 USD, purchaser price|0.005",,,,0,0.005
624,"Social assistance|carbon dioxide|kg/2018 USD, purchaser price|0.135",,,,0,0.135
624,"Social assistance|methane|kg/2018 USD, purchaser price|0.001",,,,0,0.001
624,"Social assistance|nitrous oxide|kg/2018 USD, purchaser price|0",,,,0,0
624,"Social assistance|other GHGs|kg CO2e/2018 USD, purchaser price|0.004",,,,0,0.004
711AS,Performing arts which includes spectator sports and museums,carbon dioxide,"kg/2018 USD, purchaser price",0.073,0,0.073
711AS,Performing arts which includes spectator sports and museums,methane,"kg/2018 USD, purchaser price",0,0,0
711AS,Performing arts which includes spectator sports and museums,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
711AS,Performing arts which includes spectator sports and museums,other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0,0.001
713,Amusements and  gambling  which inludes recreation industries,carbon dioxide,"kg/2018 USD, purchaser price",0.326,0,0.326
713,Amusements and  gambling  which inludes recreation industries,methane,"kg/2018 USD, purchaser price",0.002,0,0.002
713,Amusements and  gambling  which inludes recreation industries,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
713,Amusements and  gambling  which inludes recreation industries,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004
721,Accommodation,carbon dioxide,"kg/2018 USD, purchaser price",0.158,0,0.158
721,Accommodation,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
721,Accommodation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
721,Accommodation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002
722,Food services and drinking places,carbon dioxide,"kg/2018 USD, purchaser price",0.194,0,0.194
722,Food services and drinking places,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
722,Food services and drinking places,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
722,Food services and drinking places,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0,0.006
81,Other services except government,carbon dioxide,"kg/2018 USD, purchaser price",0.124,0,0.124
81,Other services except government,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
81,Other services except government,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
81,Other services except government,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004
HS,Housing,carbon dioxide,"kg/2018 USD, purchaser price",0.021,0,0.021
HS,Housing,methane,"kg/2018 USD, purchaser price",0,0,0
HS,Housing,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
HS,Housing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.001,0,0.001
ORE,Other real estate,carbon dioxide,"kg/2018 USD, purchaser price",0.405,0,0.405
ORE,Other real estate,methane,"kg/2018 USD, purchaser price",0.001,0,0.001
ORE,Other real estate,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0
ORE,Other real estate,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004
